x;iteration;;;;;;;;;;;;;;;;;
1,00E-99;171;;;;;;;;;;;;;;;;;
1,00E-98;169;;;;;;;;;;;;;L'axe des abscisses se trouve sur une échelle logarithmique et représente la valeur saisie par l'utilisateur.                                                                         L'axe des ordonnées se situe sur une échelle linéaire et représente le nombre d'itérations nécessaires à l'algorithme pour trouver une solution.;;;;
1,00E-97;167;;;;;;;;;;;;;;;;;
1,00E-96;166;;;;;;;;;;;;;;;;;
1,00E-95;164;;;;;;;;;;;;;;;;;
1,00E-94;162;;;;;;;;;;;;;;;;;
1,00E-93;161;;;;;;;;;;;;;;;;;
1,00E-92;159;;;;;;;;;;;;;;;;;
1,00E-91;157;;;;;;;;;;;;;;;;;
1,00E-90;156;;;;;;;;;;;;;;;;;
1,00E-89;154;;;;;;;;;;;;;;;;;
1,00E-88;152;;;;;;;;;;;;;;;;;
1,00E-87;151;;;;;;;;;;;;;;;;;
1,00E-86;149;;;;;;;;;;;;;;;;;
1,00E-85;147;;;;;;;;;;;;;;;;;
1,00E-84;146;;;;;;;;;;;;;;;;;
1,00E-83;144;;;;;;;;;;;;;;;;;
1,00E-82;142;;;;;;;;;;;;;;;;;
1,00E-81;141;;;;;;;;;;;;;;;;;
1,00E-80;139;;;;;;;;;;;;;;;;;
1,00E-79;137;;;;;;;;;;;;;;;;;
1,00E-78;136;;;;;;;;;;;;;;;;;
1,00E-77;134;;;;;;;;;;;;;;;;;
1,00E-76;132;;;;;;;;;;;;;;;;;
1,00E-75;131;;;;;;;;;;;;;;;;;
1,00E-74;129;;;;;;;;;;;;;;;;;
1,00E-73;127;;;;;;;;;;;;;;;;;
1,00E-72;126;;;;;;;;;;;;;;;;;
1,00E-71;124;;;;;;;;;;;;;;;;;
1,00E-70;122;;;;;;;;;;;;;;;;;
1,00E-69;121;;Nous pouvons voir ici que la courbe de progression est logarithmique. Cela signifie que plus les valeurs du nombre d'itérations n'augmentent pas de façon linéaire ou exponentielle en fonction de X (valeur utilisateur), mais de manière logarithmique. Voici ci-dessous un exemple de courbe logarithmique sur un graphique linéaire :;;;;;;;;;;;;;;;
1,00E-68;119;;;;;;;;;;;;;;;;;
1,00E-67;117;;;;;;;;;;;;;;;;;
1,00E-66;116;;;;;;;;;;;;;;;;;
1,00E-65;114;;;;;;;;;;;;;;;;;
1,00E-64;112;;;;;;;;;;;;;;;;;
1,00E-63;111;;;;;;;;;;;;;;;;;
1,00E-62;109;;;;;;;;;;;;;;;;;
1,00E-61;107;;;;;;;;;;;;;;;;;
1,00E-60;106;;;;;;;;;;;;;;;;;
1,00E-59;104;;;;;;;;;;;;;;;;;
1,00E-58;102;;;;;;;;;;;;;;;;;
1,00E-57;101;;;;;;;;;;;;;;;;;
1,00E-56;99;;;;;;;;;;;;;;;;;
1,00E-55;97;;;;;;;;;;;;;;;;;
1,00E-54;96;;;;;;;;;;;;;;;;;
1,00E-53;94;;;;;;;;;;;;;;;;;
1,00E-52;92;;;;;;;;;;;;;;;;;
1,00E-51;91;;;;;;;;;;;;;;;;;
1,00E-50;89;;;;;;;;;;;;;;;;;
1,00E-49;87;;;;;;;;;;;;;;;;;
1,00E-48;86;;;;;;;;;;;;;;;;;
1,00E-47;84;;;;;;;;;;;;;;;;;
1,00E-46;82;;;;;;;;;;;;;;;;;
1,00E-45;81;;;;;;;;;;;;;;;;;
1,00E-44;79;;;;;;;;;;;;;;;;;
1,00E-43;77;;;;;;;;;;;;;;;;;
1,00E-42;76;;;;;;;;;;;;;;;;;
1,00E-41;74;;;;;;;;;;;;;;;;;
1,00E-40;73;;;;;;;;;;;;;;;;;
1,00E-39;71;;;;;;;;;;;;;;;;;
1,00E-38;69;;;;;;;;;;;;;;;;;
1,00E-37;68;;;;;;;;;;;;;;;;;
1,00E-36;66;;;;;;;;;;;;;;;;;
1,00E-35;64;;;;;;;;;;;;;;;;;
1,00E-34;63;;;;;;;;;;;;;;;;;
1,00E-33;61;;;;;;;;;;;;;;;;;
1,00E-32;59;;;;;;;;;;;;;;;;;
1,00E-31;58;;;;;;;;;;;;;;;;;
1,00E-30;56;;;;;;;;;;;;;;;;;
1,00E-29;54;;;;;;;;;;;;;;;;;
1,00E-28;53;;;;;;;;;;;;;;;;;
1,00E-27;51;;;;;;;;;;;;;;;;;
1,00E-26;49;;;;;;;;;;;;;;;;;
1,00E-25;48;;;;;;;;;;;;;;;;;
1,00E-24;46;;;;;;;;;;;;;;;;;
1,00E-23;44;;;;;;;;;;;;;;;;;
1,00E-22;43;;;;;;;;;;;;;;;;;
1,00E-21;41;;;;;;;;;;;;;;;;;
1,00E-20;39;;;;;;;;;;;;;;;;;
1,00E-19;38;;;;;;;;;;;;;;;;;
1,00E-18;36;;;;;;;;;;;;;;;;;
1,00E-17;34;;;;;;;;;;;;;;;;;
1,00E-16;33;;;;;;;;;;;;;;;;;
1,00E-15;31;;;;;;;;;;;;;;;;;
1,00E-14;29;;;;;;;;;;;;;;;;;
1,00E-13;28;;;;;;;;;;;;;;;;;
1,00E-12;26;;;;;;;;;;;;;;;;;
1,00E-11;24;;;;;;;;;;;;;;;;;
1,00E-10;23;;;;;;;;;;;;;;;;;
0,000000001;21;;;;;;;;;;;;;;;;;
0,00000001;19;;;;;;;;;;;;;;;;;
0,0000001;18;;;;;;;;;;;;;;;;;
0,000001;16;;;;;;;;;;;;;;;;;
0,00001;14;;;;;;;;;;;;;;;;;
0,0001;13;;;;;;;;;;;;;;;;;
0,001;11;;;;;;;;;;;;;;;;;
0,01;9;;;;;;;;;;;;;;;;;
0,1;8;;;;;;;;;;;;;;;;;
1;6;;;;;;;;;;;;;;;;;
10;5;;;;;;;;;;;;;;;;;
100;7;;;;;;;;;;;;;;;;;
1000;9;;;;;;;;;;;;;;;;;
10000;11;;;;;;;;;;;;;;;;;
100000;12;;;;;;;;;;;;;;;;;
1000000;14;;;;;;;;;;;;;;;;;
10000000;16;;;;;;;;;;;;;;;;;
100000000;17;;;;;;;;;;;;;;;;;
1000000000;19;;;;;;;;;;;;;;;;;
10000000000;21;;;;;;;;;;;;;;;;;
1,00E+11;22;;;;;;;;;;;;;;;;;
1,00E+12;24;;;;;;;;;;;;;;;;;
1,00E+13;26;;;;;;;;;;;;;;;;;
1,00E+14;27;;;;;;;;;;;;;;;;;
1,00E+15;29;;;;;;;;;;;;;;;;;
1,00E+16;31;;;;;;;;;;;;;;;;;
1,00E+17;32;;;;;;;;;;;;;;;;;
1,00E+18;34;;;;;;;;;;;;;;;;;
1,00E+19;36;;;;;;;;;;;;;;;;;
