x;iteration;;;;;;;;;;;;;;;;
1E-99;171;;;;;;;;;;;;;;;;
1E-98;169;;;;;;;;;;;;;L'axe des abscisses se trouve sur une échelle logarithmique et représente la valeur saisie par l'utilisateur.                                                                         L'axe des ordonnées se situe sur une échelle linéaire et représente le nombre d'itérations nécessaires à l'algorithme pour trouver une solution.;;;
1E-97;167;;;;;;;;;;;;;;;;
1E-96;166;;;;;;;;;;;;;;;;
1E-95;164;;;;;;;;;;;;;;;;
1E-94;162;;;;;;;;;;;;;;;;
1E-93;161;;;;;;;;;;;;;;;;
1E-92;159;;;;;;;;;;;;;;;;
1E-91;157;;;;;;;;;;;;;;;;
1E-90;156;;;;;;;;;;;;;;;;
1E-89;154;;;;;;;;;;;;;;;;
1E-88;152;;;;;;;;;;;;;;;;
1E-87;151;;;;;;;;;;;;;;;;
1E-86;149;;;;;;;;;;;;;;;;
1E-85;147;;;;;;;;;;;;;;;;
1E-84;146;;;;;;;;;;;;;;;;
1E-83;144;;;;;;;;;;;;;;;;
1E-82;142;;;;;;;;;;;;;;;;
1E-81;141;;;;;;;;;;;;;;;;
1E-80;139;;;;;;;;;;;;;;;;
1E-79;137;;;;;;;;;;;;;;;;
1E-78;136;;;;;;;;;;;;;;;;
1E-77;134;;;;;;;;;;;;;;;;
1E-76;132;;;;;;;;;;;;;;;;
1E-75;131;;;;;;;;;;;;;;;;
1E-74;129;;;;;;;;;;;;;;;;
1E-73;127;;;;;;;;;;;;;;;;
1E-72;126;;;;;;;;;;;;;;;;
1E-71;124;;;;;;;;;;;;;;;;
1E-70;122;;;;;;;;;;;;;;;;
1E-69;121;;Nous pouvons voir ici que la courbe de progression est logarithmique. Cela signifie que plus les valeurs du nombre d'itérations n'augmentent pas de façon linéaire ou exponentielle en fonction de X (valeur utilisateur), mais de manière logarithmique. Voici ci-dessous un exemple de courbe logarithmique sur un graphique linéaire :;;;;;;;;;;;;;;
1E-68;119;;;;;;;;;;;;;;;;
1E-67;117;;;;;;;;;;;;;;;;
1E-66;116;;;;;;;;;;;;;;;;
1E-65;114;;;;;;;;;;;;;;;;
1E-64;112;;;;;;;;;;;;;;;;
1E-63;111;;;;;;;;;;;;;;;;
1E-62;109;;;;;;;;;;;;;;;;
1E-61;107;;;;;;;;;;;;;;;;
1E-60;106;;;;;;;;;;;;;;;;
1E-59;104;;;;;;;;;;;;;;;;
1E-58;102;;;;;;;;;;;;;;;;
1E-57;101;;;;;;;;;;;;;;;;
1E-56;99;;;;;;;;;;;;;;;;
1E-55;97;;;;;;;;;;;;;;;;
1E-54;96;;;;;;;;;;;;;;;;
1E-53;94;;;;;;;;;;;;;;;;
1E-52;92;;;;;;;;;;;;;;;;
1E-51;91;;;;;;;;;;;;;;;;
1E-50;89;;;;;;;;;;;;;;;;
1E-49;87;;;;;;;;;;;;;;;;
1E-48;86;;;;;;;;;;;;;;;;
1E-47;84;;;;;;;;;;;;;;;;
1E-46;82;;;;;;;;;;;;;;;;
1E-45;81;;;;;;;;;;;;;;;;
1E-44;79;;;;;;;;;;;;;;;;
1E-43;77;;;;;;;;;;;;;;;;
1E-42;76;;;;;;;;;;;;;;;;
1E-41;74;;;;;;;;;;;;;;;;
1E-40;73;;;;;;;;;;;;;;;;
1E-39;71;;;;;;;;;;;;;;;;
1E-38;69;;;;;;;;;;;;;;;;
1E-37;68;;;;;;;;;;;;;;;;
1E-36;66;;;;;;;;;;;;;;;;
1E-35;64;;;;;;;;;;;;;;;;
1E-34;63;;;;;;;;;;;;;;;;
1E-33;61;;;;;;;;;;;;;;;;
1E-32;59;;;;;;;;;;;;;;;;
1E-31;58;;;;;;;;;;;;;;;;
1E-30;56;;;;;;;;;;;;;;;;
1E-29;54;;;;;;;;;;;;;;;;
1E-28;53;;;;;;;;;;;;;;;;
1E-27;51;;;;;;;;;;;;;;;;
1E-26;49;;;;;;;;;;;;;;;;
1E-25;48;;;;;;;;;;;;;;;;
1E-24;46;;;;;;;;;;;;;;;;
1E-23;44;;;;;;;;;;;;;;;;
1E-22;43;;;;;;;;;;;;;;;;
1E-21;41;;;;;;;;;;;;;;;;
1E-20;39;;;;;;;;;;;;;;;;
1E-19;38;;;;;;;;;;;;;;;;
1E-18;36;;;;;;;;;;;;;;;;
1E-17;34;;;;;;;;;;;;;;;;
1E-16;33;;;;;;;;;;;;;;;;
1E-15;31;;;;;;;;;;;;;;;;
1E-14;29;;;;;;;;;;;;;;;;
1E-13;28;;;;;;;;;;;;;;;;
1E-12;26;;;;;;;;;;;;;;;;
1E-11;24;;;;;;;;;;;;;;;;
1E-10;23;;;;;;;;;;;;;;;;
0,000000001;21;;;;;;;;;;;;;;;;
0,00000001;19;;;;;;;;;;;;;;;;
0,0000001;18;;;;;;;;;;;;;;;;
0,000001;16;;;;;;;;;;;;;;;;
0,00001;14;;;;;;;;;;;;;;;;
0,0001;13;;;;;;;;;;;;;;;;
0,001;11;;;;;;;;;;;;;;;;
0,01;9;;;;;;;;;;;;;;;;
0,1;8;;;;;;;;;;;;;;;;
1;6;;;;;;;;;;;;;;;;
10;5;;;;;;;;;;;;;;;;
100;7;;;;;;;;;;;;;;;;
1000;9;;;;;;;;;;;;;;;;
10000;11;;;;;;;;;;;;;;;;
100000;12;;;;;;;;;;;;;;;;
1000000;14;;;;;;;;;;;;;;;;
10000000;16;;;;;;;;;;;;;;;;
100000000;17;;;;;;;;;;;;;;;;
1000000000;19;;;;;;;;;;;;;;;;
10000000000;21;;;;;;;;;;;;;;;;
1E+11;22;;;;;;;;;;;;;;;;
1E+12;24;;;;;;;;;;;;;;;;
1E+13;26;;;;;;;;;;;;;;;;
1E+14;27;;;;;;;;;;;;;;;;
1E+15;29;;;;;;;;;;;;;;;;
1E+16;31;;;;;;;;;;;;;;;;
1E+17;32;;;;;;;;;;;;;;;;
1E+18;34;;;;;;;;;;;;;;;;
1E+19;36;;;;;;;;;;;;;;;;
